Date (date),country_name,ISO Alpha 3 Code (alpha_3_code),Country Code (country_code),Region Name (region),Region Code (region_code),Sub-Region Name (sub_region),Sub-Region Code (sub_region_code),Harmonized System Code (hs_code),commodity,unit,quantity,value_inr,value_usd,date
2015-09-01,Kuwait,KWT,414,Asia,142,Western Asia,145,3028990,Other,Kgs,70.76,337.36,0.51,2015-09-01
2024-05-01,United Arab Emirates,ARE,784,Asia,142,Western Asia,145,48239014,Paper For Cigarette Filter Tips,Kgs,23436.0,1.5,0.18,2024-05-01
2024-07-01,Thailand,THA,764,Asia,142,South-eastern Asia,35,85361090,Others,Nos,194.0,0.01,0.0,2024-07-01
2021-02-01,Sri Lanka,LKA,144,Asia,142,Southern Asia,34,28332990,"Other Sulphates, Nes",Kgs,0.23,0.49,0.0,2021-02-01
2021-02-01,Sri Lanka,LKA,144,Asia,142,Southern Asia,34,55151190,"Fbrc Of Polstr,Mxd Wth Viscos Ryon,Othrs",Sqm,6.56,7.77,0.01,2021-02-01
2017-03-01,Kyrgyzstan,KGZ,417,Asia,142,Central Asia,143,62046990,"Trousers,Bib Etc Of Other Fibres",Nos,0.12,0.82,0.0,2017-03-01
2018-09-01,Turkiye,TUR,792,Asia,142,Western Asia,145,29331990,*Other Compnds Cntng An Unfused Pyrazole Ring (W/N Hydrgntd) In Srucvre,Kgs,2.9,303.85,0.42,2018-09-01
2018-04-01,Oman,OMN,512,Asia,142,Western Asia,145,84485190,"Snkrs,Nedl Etc. Of Other Txtl Machinery",Kgs,0.0,0.23,0.0,2018-04-01
2021-12-01,Lebanon,LBN,422,Asia,142,Western Asia,145,12119022,Senna Leaves And Pads,Kgs,11.0,9.29,0.01,2021-12-01
2021-08-01,Bangladesh,BGD,50,Asia,142,Southern Asia,34,32041552,Vat Blue 4,Kgs,4.16,94.92,0.13,2021-08-01
2018-07-01,Bhutan,BTN,64,Asia,142,Southern Asia,34,73079210,Galvanised,Kgs,1.1,2.07,0.0,2018-07-01
2020-10-01,Bahrain,BHR,48,Asia,142,Western Asia,145,42050090,Others,Kgs,0.02,0.73,0.0,2020-10-01
2017-01-01,Indonesia,IDN,360,Asia,142,South-eastern Asia,35,70132800,Other,Kgs,0.01,0.01,0.0,2017-01-01
2024-10-01,Nepal,NPL,524,Asia,142,Southern Asia,34,28333090,Other Alums,Kgs,22610.0,0.05,0.01,2024-10-01
2021-09-01,United Arab Emirates,ARE,784,Asia,142,Western Asia,145,29124200,Ethylvanilin (3-Ethoxy-4-Hydroxybnzldhyd),Kgs,0.03,0.41,0.0,2021-09-01
2019-11-01,Philippines,PHL,608,Asia,142,South-eastern Asia,35,28419000,"Other Salts Of Oxometallic Or Peroxometallic Acids, Nes",Kgs,0.0,0.01,0.0,2019-11-01
2018-04-01,Sri Lanka,LKA,144,Asia,142,Southern Asia,34,82051000,Drilling Threading Or Taping Tools,Kgs,0.24,0.12,0.0,2018-04-01
2019-04-01,Qatar,QAT,634,Asia,142,Western Asia,145,21011190,Other Exrcts Essncs And Cncntrts Of Coffee,Kgs,5.6,10.27,0.01,2019-04-01
2016-03-01,Indonesia,IDN,360,Asia,142,South-eastern Asia,35,28275990,Bromides And Oxybromides N E S,Kgs,0.95,5.14,0.01,2016-03-01
2019-12-01,Republic of Korea,KOR,410,Asia,142,Eastern Asia,30,39269061,Hangers Of Polyurethane Foam,Kgs,0.04,0.03,0.0,2019-12-01
2020-11-01,United Arab Emirates,ARE,784,Asia,142,Western Asia,145,54071099,Othr Polyester Fbrcs Nes,Sqm,658.44,332.1,0.45,2020-11-01
2015-08-01,Sri Lanka,LKA,144,Asia,142,Southern Asia,34,84198190,"Othr Machinry,Plant And Equipment For Makinghot Drinks Or For Cooking/Heating Food",Nos,0.0,6.18,0.01,2015-08-01
2015-06-01,China,CHN,156,Asia,142,Eastern Asia,30,98030000,Dutiable Passengers/Crews Baggage,Kgs,10.24,6.39,0.01,2015-06-01
2020-07-01,Nepal,NPL,524,Asia,142,Southern Asia,34,30051020,Adhesive Tape (Medicinal),Kgs,0.69,7.47,0.01,2020-07-01
2019-09-01,Qatar,QAT,634,Asia,142,Western Asia,145,2042100,"Crcs And Hlf Crcs Of Sheep,Frsh Or Chld",Kgs,100.01,464.03,0.65,2019-09-01
2019-06-01,Saudi Arabia,SAU,682,Asia,142,Western Asia,145,84253900,Other Winches;Capstans,Nos,0.07,21.94,0.03,2019-06-01
